Namn;Månadslön;Antal månader;Semesterdagar;Sparade dagar;Semesterlön (kr);Semestertillägg (kr);AG-avg (kr)
Martin Lindqvist;56970;6;28;40;184474,29;2734,56;58821,02
Gustaf Forsberg;46564;4;25;45;155213,33;1490,05;49236,2
Emma Karlsson;87903;11;25;43;284638,29;7735,46;91863,83
David Olsson;85591;8;28;42;285303,33;5477,82;0,0
Lars Bengtsson;57949;11;28;40;187644,38;5099,51;60560,13
Niklas Berggren;80692;2;25;28;203651,24;1291,07;64392,87
Per Lundgren;70929;12;30;35;219542,14;6809,18;71119,58
Magnus Pettersson;77819;8;25;43;251985,33;4980,42;80738,64
Emma Bengtsson;58360;9;25;43;188975,24;4201,92;60696,26
Anna Fransson;66854;9;25;25;159176,19;4813,49;51525,56
Camilla Nordin;67001;2;25;4;92525,19;1072,02;29408,24
Patrik Olsson;47453;2;25;27;117502,67;759,25;37157,9
Viktor Johansson;62172;1;25;19;130265,14;497,38;41085,58
Sara Engström;74694;3;25;1;106350,03;1792,66;33978,43
Mikael Lindgren;55714;12;25;9;90203,62;5348,54;30022,49
Sofia Karlsson;48630;6;25;44;159784,29;2334,24;50937,64
Sofia Engström;66197;11;25;29;170220,86;5825,34;55313,72
Mattias Andersson;75017;6;25;36;217906,52;3600,82;69597,61
Petra Holmberg;79373;10;25;38;238119,0;6349,84;76812,11
Alexander Bergström;73223;7;28;4;111577,9;4100,49;36346,15
Rickard Pettersson;44157;5;25;9;71492,29;1766,28;23017,84
Rickard Fransson;38223;5;25;39;116489,14;1528,92;37081,27
Malin Johansson;41590;4;25;22;93082,38;1330,88;29664,65
Martin Nilsson;74718;11;25;41;234828,0;6575,18;75848,88
Emma Blom;59169;12;25;1;73256,86;5680,22;24802,03
Lars Persson;49996;5;30;43;173795,62;1999,84;55234,93
Eva Larsson;69696;3;25;31;82971,43;1672,7;26595,19
Cecilia Hägg;76094;11;25;14;141317,43;6696,27;46505,9
Sara Bengtsson;51482;9;25;17;102964,0;3706,7;33515,93
Johan Berggren;68615;5;25;4;94754,05;2744,6;30634,08
Jenny Hellström;36599;3;25;21;80169,24;878,38;25465,16
Daniel Forsberg;57989;6;25;14;107693,86;2783,47;34711,98
Lisa Svensson;77200;12;25;23;176457,14;7411,2;57771,43
Henrik Gustafsson;82259;8;25;43;266362,48;5264,58;85345,22
Johanna Nordström;89781;7;28;44;307820,57;5027,74;98296,94
Gustaf Fransson;50045;3;28;22;119154,76;1201,08;37815,8
Henrik Nyström;78780;1;25;1;97537,14;630,24;30844,19
Karin Jansson;69779;3;25;41;219305,43;1674,7;69431,96
Ida Björk;56302;3;25;14;104560,86;1351,25;33277,58
Karin Berggren;53203;8;28;30;146941,62;3404,99;47238,9
Maria Löfgren;89935;10;25;8;141326,43;7194,8;46665,37
