Verifikationsnr;Datum;Konto;Kontonamn;Debet;Kredit;Text
1209;2025-01-25;2960;Övriga upplupna kostnader;0,0;491,27;SLP pension Anna Svensson
1210;2025-01-25;7090;Förändring semesterlöneskuld;5760,0;0,0;Semesterlöneskuld Anna Svensson
1210;2025-01-25;2920;Upplupna semesterlöner;0,0;5760,0;Semesterlöneskuld Anna Svensson
1211;2025-01-25;7519;Arbetsgivaravgifter semesterlön;1809,79;0,0;AG-avg semester Anna Svensson
1211;2025-01-25;2940;Upplupna arbetsgivaravgifter;0,0;1809,79;AG-avg semester Anna Svensson
1212;2025-01-25;7010;Löner;38000,0;0,0;Lön Erik Lindberg
1212;2025-01-25;7510;Arbetsgivaravgifter;11939,6;0,0;Arbetsgivaravgift Erik Lindberg
1212;2025-01-25;1930;Företagskonto;0,0;49939,6;Lön + AG-avg Erik Lindberg
1213;2025-01-25;7410;Pensionskostnader;1710,0;0,0;Pension Erik Lindberg
1213;2025-01-25;1930;Företagskonto;0,0;1710,0;Pension Erik Lindberg
1214;2025-01-25;7530;Särskild löneskatt pensionskostnader;537,28;0,0;SLP pension Erik Lindberg
1214;2025-01-25;2960;Övriga upplupna kostnader;0,0;537,28;SLP pension Erik Lindberg
1215;2025-01-25;7090;Förändring semesterlöneskuld;4864,0;0,0;Semesterlöneskuld Erik Lindberg
1215;2025-01-25;2920;Upplupna semesterlöner;0,0;4864,0;Semesterlöneskuld Erik Lindberg
1216;2025-01-25;7519;Arbetsgivaravgifter semesterlön;1528,27;0,0;AG-avg semester Erik Lindberg
1216;2025-01-25;2940;Upplupna arbetsgivaravgifter;0,0;1528,27;AG-avg semester Erik Lindberg
1217;2025-01-25;7010;Löner;52000,0;0,0;Lön Maria Johansson
1217;2025-01-25;7510;Arbetsgivaravgifter;16338,4;0,0;Arbetsgivaravgift Maria Johansson
1217;2025-01-25;1930;Företagskonto;0,0;68338,4;Lön + AG-avg Maria Johansson
1218;2025-01-25;7410;Pensionskostnader;2340,0;0,0;Pension Maria Johansson
1218;2025-01-25;1930;Företagskonto;0,0;2340,0;Pension Maria Johansson
1219;2025-01-25;7530;Särskild löneskatt pensionskostnader;567,68;0,0;SLP pension Maria Johansson
1219;2025-01-25;2960;Övriga upplupna kostnader;0,0;567,68;SLP pension Maria Johansson
1220;2025-01-25;7090;Förändring semesterlöneskuld;6656,0;0,0;Semesterlöneskuld Maria Johansson
1220;2025-01-25;2920;Upplupna semesterlöner;0,0;6656,0;Semesterlöneskuld Maria Johansson
1221;2025-01-25;7519;Arbetsgivaravgifter semesterlön;2091,32;0,0;AG-avg semester Maria Johansson
1221;2025-01-25;2940;Upplupna arbetsgivaravgifter;0,0;2091,32;AG-avg semester Maria Johansson
1222;2025-01-25;7010;Löner;41000,0;0,0;Lön Karl Nilsson
1222;2025-01-25;7510;Arbetsgivaravgifter;12882,2;0,0;Arbetsgivaravgift Karl Nilsson
1222;2025-01-25;1930;Företagskonto;0,0;53882,2;Lön + AG-avg Karl Nilsson
1223;2025-01-25;7410;Pensionskostnader;1845,0;0,0;Pension Karl Nilsson
1223;2025-01-25;1930;Företagskonto;0,0;1845,0;Pension Karl Nilsson
1224;2025-01-25;7530;Särskild löneskatt pensionskostnader;447,6;0,0;SLP pension Karl Nilsson
1224;2025-01-25;2960;Övriga upplupna kostnader;0,0;447,6;SLP pension Karl Nilsson
1225;2025-01-25;7090;Förändring semesterlöneskuld;4920,0;0,0;Semesterlöneskuld Karl Nilsson
1225;2025-01-25;2920;Upplupna semesterlöner;0,0;4920,0;Semesterlöneskuld Karl Nilsson
1226;2025-01-25;7519;Arbetsgivaravgifter semesterlön;1648,92;0,0;AG-avg semester Karl Nilsson
1226;2025-01-25;2940;Upplupna arbetsgivaravgifter;0,0;1648,92;AG-avg semester Karl Nilsson
1227;2025-01-25;7010;Löner;35000,0;0,0;Lön Sara Eriksson
1227;2025-01-25;7510;Arbetsgivaravgifter;10997,0;0,0;Arbetsgivaravgift Sara Eriksson
1227;2025-01-25;1930;Företagskonto;0,0;45997,0;Lön + AG-avg Sara Eriksson
1228;2025-01-25;7410;Pensionskostnader;1575,0;0,0;Pension Sara Eriksson
1228;2025-01-25;1930;Företagskonto;0,0;1575,0;Pension Sara Eriksson
1229;2025-01-25;7530;Särskild löneskatt pensionskostnader;382,1;0,0;SLP pension Sara Eriksson
1229;2025-01-25;2960;Övriga upplupna kostnader;0,0;382,1;SLP pension Sara Eriksson
1230;2025-01-25;7090;Förändring semesterlöneskuld;4480,0;0,0;Semesterlöneskuld Sara Eriksson
1230;2025-01-25;2920;Upplupna semesterlöner;0,0;4480,0;Semesterlöneskuld Sara Eriksson
1231;2025-01-25;7519;Arbetsgivaravgifter semesterlön;1407,62;0,0;AG-avg semester Sara Eriksson
1231;2025-01-25;2940;Upplupna arbetsgivaravgifter;0,0;1407,62;AG-avg semester Sara Eriksson
1126;2025-01-26;2440;Leverantörsskulder;0,0;2746,05;Leverantörsfaktura LF-1126
1126;2025-01-26;5410;Förbrukningsinventarier;2196,84;0,0;Leverantörsfaktura LF-1126
1126;2025-01-26;2640;Ingående moms;549,21;0,0;Leverantörsfaktura LF-1126
1170;2025-01-26;1510;Kundfordringar;113567,74;0,0;Faktura F-1170
1170;2025-01-26;3010;Försäljning varor 25%;0,0;90854,19;Faktura F-1170
1170;2025-01-26;2610;Utgående moms 25%;0,0;22713,55;Faktura F-1170
1085;2025-01-27;5010;Lokalhyra;21107,92;0,0;Lokalhyra
1085;2025-01-27;1930;Företagskonto;0,0;21107,92;Lokalhyra
1007;2025-01-28;5010;Lokalhyra;18066,31;0,0;Lokalhyra
1007;2025-01-28;1930;Företagskonto;0,0;18066,31;Lokalhyra
1061;2025-01-28;7010;Löner;52073,29;0,0;Lön
1061;2025-01-28;7510;Arbetsgivaravgifter;16361,43;0,0;Arbetsgivaravgifter
1061;2025-01-28;1930;Företagskonto;0,0;68434,72;Lön + arbetsgivaravgifter
1144;2025-01-28;1510;Kundfordringar;81444,79999999999;0,0;Faktura F-1144
1144;2025-01-28;3010;Försäljning varor 25%;0,0;65155,84;Faktura F-1144
1144;2025-01-28;2610;Utgående moms 25%;0,0;16288,96;Faktura F-1144
1001;2025-01-29;2440;Leverantörsskulder;0,0;46358,86;Leverantörsfaktura LF-1001
1001;2025-01-29;4010;Inköp varor;37087,09;0,0;Leverantörsfaktura LF-1001
1001;2025-01-29;2640;Ingående moms;9271,77;0,0;Leverantörsfaktura LF-1001
1026;2025-01-29;2440;Leverantörsskulder;0,0;32458,49;Leverantörsfaktura LF-1026
1026;2025-01-29;4010;Inköp varor;25966,79;0,0;Leverantörsfaktura LF-1026
1026;2025-01-29;2640;Ingående moms;6491,7;0,0;Leverantörsfaktura LF-1026
1046;2025-01-29;1510;Kundfordringar;67528,01000000001;0,0;Faktura F-1046
1046;2025-01-29;3010;Försäljning varor 25%;0,0;54022,41;Faktura F-1046
1046;2025-01-29;2610;Utgående moms 25%;0,0;13505,6;Faktura F-1046
1047;2025-01-30;6110;Kontorsmaterial;2592,07;0,0;Kontorsmaterial
1047;2025-01-30;1930;Företagskonto;0,0;2592,07;Kontorsmaterial
1103;2025-01-30;2440;Leverantörsskulder;0,0;2699,45;Leverantörsfaktura LF-1103
1103;2025-01-30;5410;Förbrukningsinventarier;2159,56;0,0;Leverantörsfaktura LF-1103
1103;2025-01-30;2640;Ingående moms;539,89;0,0;Leverantörsfaktura LF-1103
1194;2025-01-30;1510;Kundfordringar;136982,79;0,0;Faktura F-1194
1194;2025-01-30;3010;Försäljning varor 25%;0,0;109586,23;Faktura F-1194
1194;2025-01-30;2610;Utgående moms 25%;0,0;27396,56;Faktura F-1194
1070;2025-01-31;7010;Löner;28596,6;0,0;Lön
1070;2025-01-31;7510;Arbetsgivaravgifter;8985,05;0,0;Arbetsgivaravgifter
1070;2025-01-31;1930;Företagskonto;0,0;37581,649999999994;Lön + arbetsgivaravgifter
1098;2025-01-31;2440;Leverantörsskulder;0,0;61042,619999999995;Leverantörsfaktura LF-1098
1098;2025-01-31;5410;Förbrukningsinventarier;48834,1;0,0;Leverantörsfaktura LF-1098
1098;2025-01-31;2640;Ingående moms;12208,52;0,0;Leverantörsfaktura LF-1098
1125;2025-01-31;5010;Lokalhyra;21739,22;0,0;Lokalhyra
1125;2025-01-31;1930;Företagskonto;0,0;21739,22;Lokalhyra
1187;2025-01-31;7010;Löner;44377,09;0,0;Lön
1187;2025-01-31;7510;Arbetsgivaravgifter;13943,28;0,0;Arbetsgivaravgifter
1187;2025-01-31;1930;Företagskonto;0,0;58320,369999999995;Lön + arbetsgivaravgifter
1202;2025-01-31;5060;Hyra av inventarier;96000,0;0,0;Hyra kopiatorer jan-jun 2025
1202;2025-01-31;1930;Företagskonto;0,0;96000,0;Hyra kopiatorer jan-jun 2025
1285;2025-01-31;7010;Löner;28596,6;0,0;Lön
1286;2025-01-31;5410;Förbrukningsinventarier;48834,1;0,0;Leverantörsfaktura LF-1098
1079;2025-02-01;5010;Lokalhyra;23549,62;0,0;Lokalhyra
1079;2025-02-01;1930;Företagskonto;0,0;23549,62;Lokalhyra
1096;2025-02-01;1510;Kundfordringar;70354,25;0,0;Faktura F-1096
1096;2025-02-01;3010;Försäljning varor 25%;0,0;56283,4;Faktura F-1096
1096;2025-02-01;2610;Utgående moms 25%;0,0;14070,85;Faktura F-1096
1129;2025-02-01;2440;Leverantörsskulder;0,0;41433,549999999996;Leverantörsfaktura LF-1129
1129;2025-02-01;4010;Inköp varor;33146,84;0,0;Leverantörsfaktura LF-1129
1129;2025-02-01;2640;Ingående moms;8286,71;0,0;Leverantörsfaktura LF-1129
1139;2025-02-01;5010;Lokalhyra;37974,41;0,0;Lokalhyra
1139;2025-02-01;1930;Företagskonto;0,0;37974,41;Lokalhyra
1163;2025-02-01;2440;Leverantörsskulder;0,0;52652,759999999995;Leverantörsfaktura LF-1163
1163;2025-02-01;5410;Förbrukningsinventarier;42122,21;0,0;Leverantörsfaktura LF-1163
1163;2025-02-01;2640;Ingående moms;10530,55;0,0;Leverantörsfaktura LF-1163
1171;2025-02-01;1510;Kundfordringar;132616,24;0,0;Faktura F-1171
1171;2025-02-01;3010;Försäljning varor 25%;0,0;106092,99;Faktura F-1171
1171;2025-02-01;2610;Utgående moms 25%;0,0;26523,25;Faktura F-1171
1180;2025-02-01;1510;Kundfordringar;56805,75;0,0;Faktura F-1180
1180;2025-02-01;3010;Försäljning varor 25%;0,0;45444,6;Faktura F-1180
1180;2025-02-01;2610;Utgående moms 25%;0,0;11361,15;Faktura F-1180
1087;2025-02-02;1510;Kundfordringar;22979,1;0,0;Faktura F-1087
1087;2025-02-02;3010;Försäljning varor 25%;0,0;18383,28;Faktura F-1087
1087;2025-02-02;2610;Utgående moms 25%;0,0;4595,82;Faktura F-1087
1111;2025-02-02;1510;Kundfordringar;134717,34;0,0;Faktura F-1111
1111;2025-02-02;3010;Försäljning varor 25%;0,0;107773,87;Faktura F-1111
1111;2025-02-02;2620;Utgående moms 12%;0,0;26943,47;Faktura F-1111
1009;2025-02-03;1510;Kundfordringar;138513,89;0,0;Faktura F-1009
1009;2025-02-03;3010;Försäljning varor 25%;0,0;110811,11;Faktura F-1009
1009;2025-02-03;2610;Utgående moms 25%;0,0;27702,78;Faktura F-1009
1108;2025-02-03;1510;Kundfordringar;25897,96;0,0;Faktura F-1108
1108;2025-02-03;3010;Försäljning varor 25%;0,0;20718,37;Faktura F-1108
1108;2025-02-03;2610;Utgående moms 25%;0,0;5179,59;Faktura F-1108
1088;2025-02-05;1510;Kundfordringar;6892,65;0,0;Faktura F-1088
1088;2025-02-05;3010;Försäljning varor 25%;0,0;5514,12;Faktura F-1088
1088;2025-02-05;2610;Utgående moms 25%;0,0;1378,53;Faktura F-1088
1104;2025-02-05;1510;Kundfordringar;181498,65000000002;0,0;Faktura F-1104
1104;2025-02-05;3010;Försäljning varor 25%;0,0;145198,92;Faktura F-1104
1104;2025-02-05;2610;Utgående moms 25%;0,0;36299,73;Faktura F-1104
1141;2025-02-05;7010;Löner;27324,5;0,0;Lön
1141;2025-02-05;7510;Arbetsgivaravgifter;8585,36;0,0;Arbetsgivaravgifter
1141;2025-02-05;1930;Företagskonto;0,0;35909,86;Lön + arbetsgivaravgifter
1123;2025-02-06;6110;Kontorsmaterial;6806,61;0,0;Kontorsmaterial
1123;2025-02-06;1930;Företagskonto;0,0;6806,61;Kontorsmaterial
1142;2025-02-06;2440;Leverantörsskulder;0,0;17892,550000000003;Leverantörsfaktura LF-1142
1142;2025-02-06;6110;Kontorsmaterial;14314,04;0,0;Leverantörsfaktura LF-1142
1142;2025-02-06;2640;Ingående moms;3578,51;0,0;Leverantörsfaktura LF-1142
1066;2025-02-07;2440;Leverantörsskulder;0,0;60583,450000000004;Leverantörsfaktura LF-1066
1066;2025-02-07;4010;Inköp varor;48466,76;0,0;Leverantörsfaktura LF-1066
1066;2025-02-07;2640;Ingående moms;12116,69;0,0;Leverantörsfaktura LF-1066
1075;2025-02-08;7010;Löner;34485,32;0,0;Lön
1075;2025-02-08;7510;Arbetsgivaravgifter;10835,29;0,0;Arbetsgivaravgifter
1075;2025-02-08;1930;Företagskonto;0,0;45320,61;Lön + arbetsgivaravgifter
1039;2025-02-09;2440;Leverantörsskulder;0,0;4797,91;Leverantörsfaktura LF-1039
1039;2025-02-09;4010;Inköp varor;3838,33;0,0;Leverantörsfaktura LF-1039
1039;2025-02-09;2640;Ingående moms;959,58;0,0;Leverantörsfaktura LF-1039
1094;2025-02-09;5010;Lokalhyra;41969,44;0,0;Lokalhyra
1094;2025-02-09;1930;Företagskonto;0,0;41969,44;Lokalhyra
1115;2025-02-09;7010;Löner;34785,49;0,0;Lön
1115;2025-02-09;7510;Arbetsgivaravgifter;10929,6;0,0;Arbetsgivaravgifter
1115;2025-02-09;1930;Företagskonto;0,0;45715,09;Lön + arbetsgivaravgifter
1168;2025-02-09;6110;Kontorsmaterial;6934,8;0,0;Kontorsmaterial
1168;2025-02-09;1930;Företagskonto;0,0;6934,8;Kontorsmaterial
1073;2025-02-10;5010;Lokalhyra;21127,78;0,0;Lokalhyra
1073;2025-02-10;1930;Företagskonto;0,0;21127,78;Lokalhyra
1074;2025-02-10;2440;Leverantörsskulder;0,0;17518,89;Leverantörsfaktura LF-1074
1074;2025-02-10;5410;Förbrukningsinventarier;14015,11;0,0;Leverantörsfaktura LF-1074
1074;2025-02-10;2640;Ingående moms;3503,78;0,0;Leverantörsfaktura LF-1074
1109;2025-02-10;7010;Löner;43186,27;0,0;Lön
1109;2025-02-10;7510;Arbetsgivaravgifter;13569,13;0,0;Arbetsgivaravgifter
1109;2025-02-10;1930;Företagskonto;0,0;56755,399999999994;Lön + arbetsgivaravgifter
1019;2025-02-11;1510;Kundfordringar;47764,96;0,0;Faktura F-1019
1019;2025-02-11;3010;Försäljning varor 25%;0,0;38211,97;Faktura F-1019
1019;2025-02-11;2630;Utgående moms 6%;0,0;9552,99;Faktura F-1019
1121;2025-02-11;7010;Löner;38253,58;0,0;Lön
1121;2025-02-11;7510;Arbetsgivaravgifter;12019,27;0,0;Arbetsgivaravgifter
1121;2025-02-11;1930;Företagskonto;0,0;50272,850000000006;Lön + arbetsgivaravgifter
1183;2025-02-11;2440;Leverantörsskulder;0,0;31112,440000000002;Leverantörsfaktura LF-1183
1183;2025-02-11;6110;Kontorsmaterial;24889,95;0,0;Leverantörsfaktura LF-1183
1183;2025-02-11;2640;Ingående moms;6222,49;0,0;Leverantörsfaktura LF-1183
1049;2025-02-12;1510;Kundfordringar;99440,8;0,0;Faktura F-1049
1049;2025-02-12;3010;Försäljning varor 25%;0,0;79552,64;Faktura F-1049
1049;2025-02-12;2610;Utgående moms 25%;0,0;19888,16;Faktura F-1049
1282;2025-02-12;1510;Kundfordringar;99440,8;0,0;Faktura F-1049
1032;2025-02-13;1510;Kundfordringar;59446,899999999994;0,0;Faktura F-1032
1032;2025-02-13;3010;Försäljning varor 25%;0,0;47557,52;Faktura F-1032
1032;2025-02-13;2610;Utgående moms 25%;0,0;11889,38;Faktura F-1032
1184;2025-02-13;5010;Lokalhyra;41409,6;0,0;Lokalhyra
1184;2025-02-13;1930;Företagskonto;0,0;41409,6;Lokalhyra
1162;2025-02-14;2440;Leverantörsskulder;0,0;41071,32;Leverantörsfaktura LF-1162
1162;2025-02-14;4010;Inköp varor;32857,06;0,0;Leverantörsfaktura LF-1162
1162;2025-02-14;2640;Ingående moms;8214,26;0,0;Leverantörsfaktura LF-1162
1015;2025-02-15;2440;Leverantörsskulder;0,0;42298,23;Leverantörsfaktura LF-1015
